Position,Company,Worktime,Location,URL
Software Engineer – BCG X,Boston Consulting Group,Full-Time,서울,https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JK97v8vsS6itPjDP9Pt4TgJrKUGxgpL6-tShyR6jr0j_bjdflHYZFqpTpRfX5tBpxXnO_0jvrbdhBNcI1BLaycE0eRyaUX535RqOzrcFA7foShaUB-WImMk0OePoGDZkdQKfh4wlAKjhIzDf21fk7w3D_9aoK5mYohNPhx8JyHoVW1hBJvYYtc06DGluOuK04gdDl6kMMe18_YsfdFHh-tk4L46e6S3U18ehZB-GryXLc0K6d72Z7aEd7v1gX5t3fnWWx2sf4meKLMi9VQnJ-bqyzlggUlzWOMxYABm_gr-j0Ri3M-eSupxFJx76SOhjRnCGO3EqvSsF9uypiSXwBkDbun4DLGo0SjpHwwHI9cv2EJ6Z_06AftGHQXrxfnxzajvsbSt2xUiIXXKrzKQqP0_OsQwL3rXvVUXibxygoqOYfew9glxchsivrWkTOEb2hgzUaTCJGx5xk4Cf7DjEh3ibm6SNLSq6M5mhCm1C-m9cVjYuToQgZdNoelVgrYIYo17ZgTrZhh_8MPfTDgUiKNVTRYlGzr5DT-2kgeu5ilKxvoWKITad_xUqszVLmzJYR3bbC2MzifSk-Fw4_yoMLehzZ7FeOUDwg8NACe0DGSZeQ0Y6xaQvrSS-TiTTzqYzAqcNpjkCq-wqmbN2cQ4S86N6YTVbQvr594XZT6rk6zQTkbv6g1t2bdxgZzYy2KwBMQ8Jeusj_pHQpLCLSDywfpai4wranEaTyNxu7tuJ-Lpx5Cttp7QHNBUtFIH29zI0_SiWggejQn44zQiDySFalXpi23OF41ziUQe-2Z2YQhNt5p5qhitjx5BczrWsgEngU-QH-YWOCn555cPxJt4dHnz60MvA2kFS4vcOOLUVJwpfUw-cDT1DNAZOACWrANGjjtsqIkm7drSuUACgU4x7qxTRkcMfdPRVFFZPHXMhzdKsgcD5Ne0vT_8angSuQhVFqCuyPF3uyGOcDKTroDISPSiav9lXPNl9lOD6qa7wnqrmwfoIC1dXe9Hc-L97apca2txLNgF5dVOWoliI0QpX1tvR6hYSKWAxS2gccoGCDV0on_ieu-MQHe536ALauhkMmddfBxLuQXzgmyyBFo7qqnPGE_A2QbDsTOLwWVdlkHkhlhWnJiolV9yQVdjyt0ssj8JXS-SgHv2tRaSXlL8gMSO8BfzAOb2rLhzmZhuB2rbZBYqTywcvPefp2mQJFeu3jCogaYunuq7AZRuAcwLcWeopmVuPJqRMgDEMX_h5mZfz&xkcb=SoBF-_M3HNIf4ug1Tj0LbzkdCdPP&p=0&fvj=0&vjs=3
Data Scientist – BCG X,Boston Consulting Group,Full-Time,서울,https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JK97v8vsS6itPjDP9Pt4TgJrKUGxgpL6-hgrMFNy7KLcFw10rAcUSaRFKX778E1eVGHhvXTDabpPj5BUMtsv2QYKPNSZpPC5_16IqikXkHiyF_T78Rg3HOGjreLAtU4Xq0b0hQGVF1z_27sZ3L7XRLXSqLNosRNsjTzWv3-Ljeyt931AMYogXnq5vS8nfOP5yAgkOOFTSsJzdq7J5r4h2Lle_rm-vsBquyDpPPOYZuomMFa5ggrL3rfdnQ1kUnF2riGxyMehXmxE9lyHKvsENzyb8WJyFPVB_TnGLl688rE1uPLAhM7WJFFVdny-KDG6xBMAuVIYIBVI0k35BQMo2n86PZ-l3bvC_Ie8mqeqIfDdSAHwz0ML94MgJtpBdDYK3RRtjB6KMbPTuukf1yUCb_E_fuhFwxLcQUGvBpcmuxXgb5NyOo9wBHpTH6SYGZIGomODFWpSrK5PTxFUSmA7FFoiHFDJZf7kbpc2sdV1UcG-_YS-5tmS6KP_PChORFIrpuR243r-S_9SvmQunCQLuiAytninn9msY1Jnc3q7ozmt72z0iRCf7FAQSXKMLcGNhaEts8hFLUcCUJh0KuBn38LCDSOqSoKbZ17C7oSNSdDG2hNTD47lH0NPJr3NVIYcJNJjSarfQKUWLBDObrcpSU8cK-swGoZr2Wu1ygaVzH6GKFNX1p8IiNziguft5rxa0N_WUvGhH9Xaxd6hbjJ_4ejGFBrUmYjA9YwZmyXHEDUU7wJ1HbJt6iM_EVBnzN2c1NRIrqDn2iM1mSauGjNYSZpkDcm1M1NMQ9dVDbZedReDBg_FX3yJ93FgC7sj4i_lQ3oikg6YQ5V6HjC8GMDV3IOzwH6ovUk16ZAUZb53Aoa36k3_9k7SGcON0fk0Pv4GaCzFaHLjcSUby_m_YlL7iPgF-c0_Wf-pe6uY93qweQwibM-6YzKajZVdJm2MLraQiAYzZTStnd23NKFU-9e81VImxOJ8WdtDmODPzvWZ_GZMJwhp5bvvDXnCMH6jKOCUluBuEyFQrba8wV0f5WOU_3XjFaQ2I0O7rwP6olt34AYIBLx7szoRQEzNFv8pbN5XQx1Gye3pPpwPfHn3WlYIlJzfgIz461X_B0NyTK-le82SwjSVDzJ7NmZNrUjMfaQE-REpoGuAgEA1KZG5FaouRDKB_FxH4P-U7_eLLhLi_qzBdk1WxTdMFKC1VjqQjgwWeQnbq7T_S7F8YXaajWxRy0F5HaCardWi5Q==&xkcb=SoDx-_M3HNIf4ug1Tj0KbzkdCdPP&p=1&fvj=0&vjs=3
Python Backend Engineer,마인드에이아이,Full-Time,서울 중구,https://kr.indeed.com/rc/clk?jk=1d18acbd074015a7&fccid=6e36b32060404d12&vjs=3
Deep Learning Researcher (Intern),Qualcomm,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=701e887d6f3eb831&fccid=d40ebe11fc879426&vjs=3
데이터분석가 신입/경력,어니컴,Full-Time,서울 용산구,https://kr.indeed.com/rc/clk?jk=d4fe66a66e4604ae&fccid=5c6ed722e9346a08&vjs=3
Customer Planning Manager,LEGO,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=c916c03e645ef14d&fccid=7ffb2f076144ee5d&vjs=3
Python  인공지능(AI) 외 신입/경력,사회정보연구원,Full-Time,서울 은평구,https://kr.indeed.com/rc/clk?jk=b7fad584859458e4&fccid=8da9b3751cf2e16c&vjs=3
Business Intelligence - Cross Border eCommerce,Shopee,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=963aa98f6f6dc038&fccid=0b476c4a7add47fe&vjs=3
파이썬(python) 백엔드 개발자,아토머스,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=7e8499c0e2fe4afb&fccid=660bbb21789ab63d&vjs=3
MLOps Engineer,BOEING,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=8a5f2479aff6ccfa&fccid=edae4285faf6c2f0&vjs=3
